ngay,nhietdocaonhat,nhietdothapnhat,nhietdotrungbinh,doamcaonhat,doamthapnhat,doamtrungbinh,giolonnhat,giothapnhat,giotrungbinh,huonggiotheodo,bucxamattroi,mua,luongmua
96,34.24665,27.49665,30.632486,74.81331,50.625565,61.812237,11.592895,1.484318,6.737881,135.11813,6007,0,0
97,37.67665,27.29665,31.468317,79.11281,30.735222,59.11735,14.24163,6.1305785,9.954866,140.10217,6720,1,0.1
98,36.25665,27.21665,31.26998,82.50605,40.96528,63.484695,13.0447235,4.8965297,7.9900155,152.08023,6057,0,0
99,37.38665,27.44665,31.742899,80.71974,38.044464,60.558865,14.33234,1.8,7.5515594,142.20605,6458,0,0
100,37.77665,27.31665,31.714157,81.9741,36.069504,61.81924,13.661038,3.671294,7.9279613,160.0836,6809,0,0
101,36.62665,28.20665,31.264982,84.416756,47.22963,67.785416,13.0447235,2.9024127,7.235666,161.56505,5996,1,0.9
102,36.33665,28.08665,31.449152,82.63669,47.829132,65.96203,12.979984,5.6920996,8.46779,160.47916,5653,1,2.6000001
103,37.78665,28.016651,31.652483,82.917305,42.98816,65.93595,15.30741,3.219938,8.721864,157.14214,6416,1,0.4
104,37.86665,27.93665,31.774565,84.02458,44.592705,66.10656,14.386494,4.3498964,8.59512,152.57918,6812,1,0.5
105,38.26665,28.02665,32.07123,85.1401,34.709816,63.27826,15.484185,4.896529,8.414144,154.42352,6869,0,0
106,38.79665,28.36665,32.1154,81.27059,40.846966,64.962105,13.004922,1.8,6.837692,154.20998,6311,1,1.6
107,35.97665,27.86665,30.816656,90.751686,52.25265,75.08268,11.212135,3.4152596,6.10195,149.35425,6077,1,2.3
108,35.81665,28.45665,31.037481,89.779434,53.03098,74.62279,12.0694,3.5455887,6.4947753,152.7764,5506,1,1.6
109,35.88665,28.16665,31.575396,82.26491,49.785885,65.17214,9.826088,3.7585104,7.149531,170.0557,6012,1,0.8
110,37.23665,28.266651,31.422068,75.42434,48.050465,66.23269,13.684735,6.638072,9.19391,174.4602,6080,1,0.3
111,36.60665,28.88665,31.752901,79.69573,42.548977,63.07967,16.78156,6.618519,10.619637,154.05573,6770,0,0
112,36.87665,27.41665,31.65748,86.98167,39.756325,63.151836,13.570615,6.1094027,10.486241,143.71051,6971,1,0.1
113,38.29665,27.53665,32.48457,84.791145,33.415333,61.591434,14.20062,5.315336,9.028331,127.132065,6651,0,0
114,38.09665,28.54665,32.49748,82.26071,38.688,62.679,17.811815,3.7585104,8.730218,142.31702,6785,0,0
115,37.85665,28.49665,32.2879,80.94035,35.66957,61.01778,18.11841,2.16,8.8803835,148.60829,6554,0,0
116,36.66665,28.27665,31.682062,75.58804,38.77424,61.87427,17.309973,5.6233797,9.758937,147.07712,6356,0,0
117,37.03665,27.73665,31.438734,85.33458,41.957813,67.56887,17.873556,2.0364676,8.8792095,151.23236,6567,1,0.4
118,34.51665,26.89665,29.55832,87.82796,46.29023,74.61967,13.849476,1.4399999,7.2259126,168.02757,3722,1,13.599999
119,35.13665,26.346651,30.271645,91.48273,48.676395,72.575905,14.039999,4.32,7.6940246,131.17253,6278,0,0
120,34.806652,27.88665,31.269152,84.82397,50.50983,67.30483,11.542478,3.2399998,7.4307323,167.17467,6148,0,0
121,37.74665,28.22665,31.984568,80.33064,40.47146,63.070175,8.699793,2.9024127,5.2614017,196.91954,6416,1,0.3
122,36.09665,27.29665,30.63165,84.51548,55.01759,72.980934,12.031756,3.6,7.489039,158.39555,5510,1,3.5
123,36.77665,26.38665,30.273314,92.692924,44.850468,74.18475,13.18308,2.5455842,6.472852,151.24869,5964,1,1.1000001
124,36.52665,26.52665,30.33415,90.6651,48.47021,74.63915,11.792404,5.0142193,7.16886,161.68704,5802,1,1.1
125,39.09665,27.28665,31.897066,85.9984,43.18079,65.20925,13.044722,2.1897945,7.44154,225.34207,6690,1,0.3
126,37.44665,28.69665,31.19957,89.05353,49.667305,73.2843,17.072504,4.452954,9.557267,220.70262,5364,1,14.499999
127,36.39665,28.22665,30.99706,90.295166,49.37704,73.99793,11.246759,3.96,7.6673293,213.52812,6181,1,5.3
128,35.89665,27.69665,30.26748,91.82252,54.2318,77.91323,12.538134,2.9024127,7.391007,199.6007,4859,1,6.2
129,32.77665,26.25665,28.75165,94.80985,56.249382,81.978264,14.021525,2.3051248,7.8546042,220.25781,4774,1,13.3
130,31.55665,25.596651,27.257486,97.36835,69.21697,89.23478,18,2.0364676,5.8584733,222.06433,4265,1,23.199999
131,32.91665,24.91665,27.29998,96.372375,69.83786,89.64981,11.720751,0.35999998,5.6959114,223.11441,4070,1,35.600002
132,31.86665,25.06665,27.718733,96.77947,68.10046,85.37628,16.641972,3.7064266,7.4993157,193.88467,5233,1,5.8
133,33.36665,25.68665,28.582067,93.25801,61.690643,83.90462,9.449572,4.6938252,6.4904227,177.67455,4834,1,4.9
134,33.72665,26.46665,29.354986,94.58544,62.52194,80.93864,13.849476,3.5455887,7.558001,185.44034,5709,1,1.2
135,33.056652,26.346651,29.014982,92.58816,73.18094,84.91648,8.905908,2.968636,6.6794496,173.27148,5827,1,6.5
136,34.306652,26.266651,28.532486,95.70949,65.831505,86.33846,11.808878,2.968636,6.169731,191.56853,5667,1,7.8999996
137,34.70665,25.676651,29.39415,95.24259,63.608437,81.154594,12.24,1.9386592,7.1348357,216.09604,5815,1,2.2
138,34.00665,26.72665,29.974152,92.760284,65.59997,78.54545,13.551501,3.4152596,8.430298,218.60889,5017,1,0.8000001
139,34.90665,27.11665,29.51165,94.61206,62.009415,81.32709,9.504272,4.6938257,7.1649365,209.98569,6040,1,6.2
140,34.11665,26.62665,29.359148,94.31003,65.409546,83.11244,11.090103,3.671294,7.241593,212.59784,5878,1,4.1
141,33.94665,25.99665,28.998316,94.68504,64.15524,83.51471,12.181624,3.4152596,6.513145,197.10274,5681,1,6.6
142,33.32665,26.23665,28.5029,93.968124,63.797657,82.92481,12.538134,3.0547013,5.8162193,205.09846,6366,1,0.90000004
143,33.66665,25.91665,28.7154,93.29903,64.631714,83.1803,10.636766,1.08,5.3644233,193.66557,5676,1,5.5
144,33.82665,26.06665,29.40082,97.30912,65.81134,83.30865,7.8954163,3.0758414,5.2291183,203.11876,6405,1,4.2000003
145,34.07665,26.676651,28.633734,94.71322,62.689518,86.25419,16.981165,2.9024127,7.469272,213.35545,5381,1,13.000001
146,33.59665,26.30665,28.962065,93.407845,60.725407,81.97424,15.484185,4.896529,9.41085,215.39064,5622,1,3.8999999
147,32.82665,26.30665,28.366648,93.96555,67.55633,85.19329,13.37825,3.6179552,7.710546,196.60896,4256,1,3.3
148,33.14665,25.96665,28.469566,94.90993,65.89017,85.33585,8.39657,2.968636,4.9651847,171.2206,5004,1,9.7
149,31.74665,26.18665,28.276237,95.09063,71.38645,86.78895,8.287822,1.0182338,3.861067,68.80595,4684,1,18
150,32.43665,26.22665,28.573318,94.13601,67.642006,84.07189,6.792466,0.35999998,2.827923,111.65598,4697,1,5.6999993
151,34.306652,26.176651,29.883322,93.57011,57.650734,79.63886,7.0911775,3.6,5.3184056,140.52754,6142,1,0.3
152,33.99665,26.30665,29.972898,93.74173,59.416286,78.414635,9.021574,1.4399999,4.7436137,158.73944,6170,0,0
153,34.216652,26.90665,29.507898,93.87284,63.456856,81.00973,8.287822,0.71999997,4.2281203,189.46233,5392,1,2
154,32.07665,25.97665,28.410814,94.40301,68.74271,83.31734,8.891343,0.35999998,3.4911041,130.36453,4598,1,8.3
155,33.25665,25.05665,28.049568,98.00151,68.34017,87.00773,12.522619,0.5091169,3.8245783,139.04448,3894,1,16.2
156,33.32665,25.06665,28.522484,96.029465,68.42583,83.1795,14.345898,1.9386592,5.993981,142.80176,5215,1,6.7
157,31.89665,25.64665,27.822485,95.365204,68.715416,86.14678,10.853866,3.5455887,6.1400027,135.55624,4172,1,17.4
158,31.11665,25.176651,27.656652,97.35991,68.92726,86.73719,10.495713,3.219938,7.0117397,152.26183,4807,1,7.6
159,32.48665,24.88665,27.506235,96.83559,69.311424,86.97977,12.229406,1.835647,6.051417,188.31764,5298,1,12.4
160,32.06665,24.83665,27.4279,97.70705,70.39322,88.62391,9.673221,3.2399998,6.6153374,216.37265,3865,1,14.599999
161,32.66665,25.10665,28.578737,95.807816,68.59454,83.17509,15.158522,7.6367526,11.205817,244.21832,4642,1,3.3000002
162,32.73665,25.766651,28.279566,99.582596,70.965576,86.77188,13.797912,5.6233797,9.833217,240.0756,3922,1,9.700001
163,33.35665,26.096651,29.075819,92.21387,64.65177,80.29723,14.759999,3.671294,8.6517725,247.97055,5795,1,5.7000003
164,34.49665,26.676651,29.374153,92.377754,65.40636,83.55808,11.726277,3.7585104,8.056124,228.17984,5515,1,7.7
165,32.40665,26.30665,28.765396,93.519035,67.63643,85.107864,15.042659,3.8268526,8.476427,230.89001,5197,1,4.1
166,33.306652,26.266651,29.034569,96.33578,67.13377,84.01942,19.06301,4.379589,10.031138,237.00735,5747,1,3
167,33.53665,25.846651,28.373316,95.731224,72.01152,87.16842,11.27553,3.319036,7.002234,246.13736,5561,1,2.6999998
168,29.60665,25.80665,27.32665,96.676025,75.62802,89.56763,18.416384,6.2145634,9.90425,240.68286,3804,1,5.999999
169,31.77665,25.016651,27.710403,95.97145,80.1074,89.14523,12.599998,3.0547013,6.731425,240.69415,2891,1,18
170,33.75665,25.87665,29.3404,94.01917,68.91454,83.95246,12.4811535,2.7416782,7.122095,286.38208,4802,1,1.4000001
171,34.19665,26.64665,29.793314,95.49059,63.04231,83.57856,7.8954163,3.0547013,5.8463364,281.58627,5915,1,6.7
172,34.08665,26.78665,29.515818,97.03177,68.26396,84.32016,7.8954163,0.71999997,4.609274,228.81409,5274,1,0.2
173,33.47665,25.64665,28.764566,94.7349,69.52661,84.69486,12.496719,0.5091169,5.735868,160.4393,4354,1,5.9999995
174,32.57665,25.78665,28.7754,95.52924,65.61328,81.39707,10.182337,1.8,7.2555585,170.69589,5259,1,0.6
175,31.516651,26.16665,28.289568,92.626915,68.56471,83.44005,13.854155,3.6179552,7.709598,188.76363,4413,1,8.8
176,33.24665,25.676651,28.419151,94.056625,67.27789,84.234924,15.2947035,0.35999998,7.7445207,217.82396,5991,1,3.8999999
177,33.18665,25.77665,28.526237,96.50083,66.631294,84.09543,15.30741,3.6179552,10.323566,235.86656,5061,1,12.600001
178,31.91665,25.43665,28.302483,95.2369,66.27016,82.53915,18.161278,5.815978,11.775547,243.63812,4588,1,7.2000003
179,29.39665,26.27665,27.195402,95.59641,80.13816,87.06538,17.595861,7.10031,11.488519,231.96347,3515,1,8.5
180,30.77665,25.62665,27.726654,96.384186,73.089264,88.33849,13.627795,3.319036,8.039017,233.50612,4443,1,10
181,31.30665,25.766651,27.20832,96.32991,73.84717,89.63144,12.661564,4.802999,8.861437,236.19125,4232,1,18.6
182,30.89665,25.55665,26.932066,96.61233,72.97285,89.6863,17.388409,8.427383,11.268036,238.39758,4136,1,15.600001
183,31.21665,26.22665,27.645819,93.46339,76.043434,86.84964,16.485485,9.19939,12.342747,236.369,3770,1,10.3
184,29.58665,23.926651,25.773733,94.42567,69.41282,87.862335,22.314194,4.802999,13.594789,237.44292,3065,1,12.700001
185,29.72665,24.02665,26.133316,96.94108,75.01918,90.36205,17.238699,4.0249224,9.705804,214.54837,4686,1,11.099999
186,32.70665,24.37665,27.383734,97.11929,67.09405,87.375206,10.137692,3.396233,6.276526,225.83725,5849,1,7.9000006
187,32.67665,25.05665,28.26957,92.96968,59.65096,79.292915,13.358861,4.0249224,8.114756,256.26868,6071,1,0.1
188,32.84665,25.57665,28.275812,93.33118,67.46616,85.82761,10.703569,2.9024127,7.3513527,235.53918,5898,1,9.6
189,33.59665,25.75665,27.943316,97.07853,63.368347,87.10248,14.982228,4.6800003,8.5536175,217.25893,5685,1,11.200001
190,33.12665,25.39665,28.857897,96.3799,66.79973,81.751305,14.799459,5.3517847,10.613242,226.49329,5570,1,0.2
191,33.306652,25.56665,28.887896,95.23998,63.116863,81.86145,11.304229,3.319036,7.9123263,227.16866,6382,1,2.9
192,34.03665,26.03665,29.253733,95.534546,60.055405,80.32086,12.261158,5.4833565,8.794698,235.2196,6085,1,0.1
193,32.68665,25.98665,29.056648,94.34712,60.56933,80.78742,12.0694,3.4152596,8.973748,225.8482,5909,1,0.70000005
