ngay;nhietdocaonhat;nhietdothapnhat;nhietdotrungbinh;doamcaonhat;doamthapnhat;doamtrungbinh;giolonnhat;giothapnhat;giotrungbinh;huonggiotheodo;bucxamattroi;mua;luongmua
205;3.302.665;2.529.665;2.815.207;9.452.516;6.666.902;8.434.582;9.346.143;26.208.394;7.120.149;2.561.892;5723;1;6.7
206;2.878.665;2.478.665;26.310.402;9.511.898;8.420.309;9.104.287;13.755.579;12.979.984;62.328.343;23.877.367;1728;1;22.199.999
207;3.382.665;2.436.665;27.960.821;9.695.582;59.580.406;8.277.218;9.107.359;1.08;4.707.827;2.746.511;6828;1;2
208;3.200.665;2.458.665;2.721.582;97.764.366;6.210.239;8.517.907;11.525.623;0;6.573.403;24.742.587;5159;1;0.2
209;3.143.665;2.456.665;2.678.082;9.626.269;6.495.947;8.646.162;14.512.064;5.692.099;8.682.652;2.343.064;3434;1;2.6
210;3.150.665;2.513.665;27.216.652;9.620.553;62.868.103;8.588.564;16.343.367;3.319.036;8.761.949;23.955.139;3942;1;38.999.999
211;3.288.665;2.433.665;27.302.902;9.505.877;6.618.142;8.687.168;13.513.193;56.920.996;10.582.076;24.733.821;2931;1;9.900.001
212;3.253.665;2.594.665;28.136.238;9.218.928;67.022.316;8.369.968;20.431.387;8.714.677;12.952.984;24.117.123;4538;1;74.999.995
213;3.170.665;2.616.665;2.775.165;9.012.552;6.823.318;8.102.207;18.089.775;11.681.987;15.037.051;24.137.112;4772;1;8
214;2.979.665;2.470.665;2.666.665;9.408.952;70.629.944;8.588.882;22.104.116;9.726.664;15.995.781;23.790.819;4423;1;20.000.002
215;2.988.665;2.460.665;26.766.235;9.525.398;7.369.699;8.571.668;2.046.941;13.324.863;15.782.013;24.190.808;3690;1;16.699.999
216;3.270.665;2.529.665;27.809.568;90.281.715;62.324.337;8.259.019;22.392.462;10.44;14.348.802;24.565.228;4960;1;44.999.995
217;31.846.651;25.016.651;27.039.154;9.666.308;6.822.043;8.672.076;227.057;1.127.553;14.008.588;24.315.546;4757;1;19.399.998
218;30.016.651;2.456.665;26.449.572;97.588.326;7.037.211;8.953.851;14.332.341;8.311.245;12.184.878;25.195.764;4007;1;20.1
219;2.919.665;24.676.651;26.617.065;9.499.137;7.821.513;8.842.093;18.844.202;10.799.999;1.343.465;26.609.067;3363;1;74.999.995
220;3.063.665;2.540.665;27.006.653;9.696.582;7.132.646;87.339.424;16.039.202;6.297.428;118.623.705;25.556.041;2958;1;15.100.001
221;3.072.665;2.475.665;2.650.165;9.506.788;7.410.766;8.867.565;17.072.504;8.825.508;13.117.558;24.069.841;3014;1;10.5
222;3.132.665;2.485.665;27.489.985;94.142.784;69.263.725;8.528.101;17.935.081;9.085.988;137.483.225;22.402.296;3368;1;5.7
223;3.018.665;2.545.665;26.857.485;9.742.019;7.137.794;8.885.412;17.114.204;34.152.596;10.253.512;21.506.451;3063;1;15.300.001
224;3.183.665;2.468.665;27.732.069;9.917.828;68.582.245;8.614.871;13.684.735;36.179.552;7.788.513;21.900.461;5403;1;63.999.996
225;3.234.665;2.523.665;28.135.399;96.607.925;6.556.833;8.661.805;161.198;37.064.266;8.925.252;23.568.222;5659;1;8.700.001
226;3.412.665;2.544.665;2.844.332;96.899.185;59.967.907;8.600.574;13.556.282;38.939.953;8.409.174;25.045.993;5448;1;4
227;3.316.665;2.613.665;2.851.915;9.402.205;6.882.214;8.399.317;15.782.622;6.638.072;10.670.413;22.654.816;5385;1;1.7
228;3.214.665;2.611.665;28.032.066;92.660.484;7.187.568;8.602.871;16.831.684;6.725.354;10.915.043;20.962.234;4645;1;13
229;3.002.665;25.596.651;272.704;9.609.734;7.371.735;8.826.762;14.618.837;4.68;8.766.524;2.100.888;4412;1;12
230;3.283.665;2.390.665;28.061.647;9.682.165;6.485.064;8.516.518;11.620.809;24.149.535;67.843.165;22.551.616;6494;1;1.1
231;3.342.665;2.557.665;2.902.665;9.587.238;61.777.077;8.011.492;13.104.198;55.887.027;8.422.572;23.995.168;5844;0;0
232;3.177.665;2.578.665;27.747.065;93.764.755;7.140.986;8.565.621;15.629.971;20.364.676;8.375.735;21.887.306;5147;1;13.9
233;3.156.665;2.540.665;27.524.149;9.529.822;63.764.145;853.894;16.418.526;4.68;8.368.047;21.186.598;5094;1;3.7
234;3.217.665;2.546.665;27.435.822;9.478.522;7.032.907;8.677.688;1.594.601;37.585.104;7.467.337;22.047.392;5308;1;14
235;3.327.665;2.472.665;27.603.735;95.792.946;66.618.484;854.201;11.542.478;0.71999997;64.890.733;2.381.092;4718;1;8
236;3.260.665;2.548.665;28.135.817;9.526.011;6.597.075;8.584.742;13.397.612;34.152.596;71.779.976;2.516.427;4603;1;9.200.001
237;3.107.665;2.547.665;27.257.898;9.512.665;7.155.283;8.771.768;15.137.133;6.696.387;11.011.949;23.458.153;4068;1;8.3
238;30.016.651;24.766.651;27.116.652;9.829.389;72.901.855;87.519.226;16.454.008;35.455.887;91.059.265;2.585.686;3185;1;8.299.999
239;3.340.665;2.525.665;2.819.915;92.506.645;58.220.978;8.049.228;11.304.229;4.510.787;77.550.874;2.573.944;6233;1;2.8
240;3.331.665;2.477.665;28.372.908;944.235;5.798.559;799.505;13.32;39.763.298;8.658.502;2.693.761;5510;1;0.4
241;30.016.651;2.481.665;26.212.067;9.569.557;74.129.906;9.120.279;19.171.478;75.685.663;13.861.806;23.535.248;2418;1;16.3
242;2.960.665;2.507.665;26.874.563;9.529.216;7.768.325;8.642.701;21.794.127;7.754.637;15.781.029;21.897.874;3595;1;9
243;3.166.665;2.498.665;2.740.165;9.494.103;6.945.338;8.597.059;15.509.274;54.119.864;9.651.713;22.381.473;4937;1;10.100.001
244;3.242.665;2.439.665;26.991.232;9.495.128;6.585.756;8.783.255;16.489.416;7.072.878;11.085.106;2.502.398;4545;1;14.500.001
245;29.346.651;2.488.665;263.879;9.505.494;7.885.806;89.570.496;20.523.155;90.645.685;131.879.835;25.117.676;1903;1;5
246;2.930.665;2.477.665;26.566.648;96.778.046;7.263.724;8.672.924;17.873.556;11.183.201;14.217.296;24.464.796;2188;1;19.000.001
247;2.979.665;2.512.665;26.757.067;9.326.016;7.317.192;8.430.677;22.768.396;13.104.198;16.510.998;23.570.135;4637;1;1.7
248;3.098.665;25.346.651;2.707.582;896.173;7.125.165;83.982.994;18.193.361;9.585.739;13.289.818;24.036.847;4498;1;14.8
249;3.080.665;2.482.665;272.954;9.195.781;7.252.496;8.556.858;157.908.325;4.829.907;96.618.595;23.941.716;4739;1;22.5
250;3.288.665;25.016.651;27.932.901;9.034.001;65.285.385;8.203.425;1.477.755;6.12;9.247.501;2.422.892;5668;1;48.999.996
251;3.170.665;2.490.665;27.374.151;9.782.435;63.893.227;8.678.769;15.580.141;3.671.294;959.505;23.171.783;4837;1;18.199.999
252;3.011.665;2.475.665;27.235.403;9.735.664;7.941.209;88.298.584;16.575.644;58.603.754;9.835.432;22.801.279;3658;1;12.900.001
253;3.283.665;2.423.665;27.724.154;9.474.916;6.036.974;8.315.871;14.205.182;0.71999997;64.335.747;255.32;6352;1;6.2
254;3.287.665;2.477.665;2.851.623;9.683.319;5.893.737;81.740.364;11.592.895;22.768.397;612.857;2.696.538;6489;1;0.7
255;3.281.665;2.588.665;28.602.064;9.311.418;6.528.185;8.235.092;14.982.228;473.506;8.403.182;3.012.438;6134;1;4.4
256;31.426.651;2.504.665;27.230.812;9.684.623;6.709.175;87.499.794;1.484.318;38.939.953;8.245.432;26.915.747;4614;1;22.4
257;2.986.665;2.383.665;2.589.707;9.829.258;797.224;942.346;11.384.199;0.8049845;5.033.576;23.163.252;2345;1;41.499.996
258;2.863.665;2.458.665;25.644.983;9.794.053;8.158.547;939.172;12.879.752;5.771.239;7.630.898;22.942.479;2354;1;21.499.998
